datazone,AreaName,12_14,13_15,14_16,15_17,16_18,17_19
S01007176,Arbroath Kirkton - 04,8,4.17,7.69,8.33,14.29,16.67
S01007177,Arbroath Kirkton - 05,40.74,32.14,25,21.05,29.17,28.57
S01007178,Arbroath Kirkton - 06,41.46,30,27.03,31.82,33.33,29.17
S01007179,Arbroath Kirkton - 07,10,11.11,20,18.18,9.09,0
S01007170,Arbroath Landward - 01,15,7.14,5.88,13.33,12.5,6.67
S01007171,Arbroath Landward - 02,10,15.62,14.81,13.04,6.25,5.26
S01007172,Arbroath Landward - 03,9.09,0,0,0,0,12.5
S01007197,Arbroath Warddykes - 01,52,50,50,50,31.82,25
S01007198,Arbroath Warddykes - 02,39.13,45.45,52.38,54.17,54.55,55.56
S01007199,Arbroath Warddykes - 03,41.86,44.44,37.5,42.31,38.71,41.38
S01007200,Arbroath Warddykes - 04,17.65,17.24,31.82,42.86,30,25
S01007201,Arbroath Warddykes - 05,29.63,26.09,14.29,20.83,32,39.13
S01007202,Arbroath Warddykes - 06,40,50,37.5,34.78,17.39,33.33
S01007203,Arbroath Warddykes - 07,26.32,22.22,26.67,20,20,10
S01007857,Ardler and St Marys - 01,41.67,47.06,41.67,26.67,10,8.33
S01007858,Ardler and St Marys - 02,32.14,25.81,26.47,22.58,29.17,27.78
S01007859,Ardler and St Marys - 03,40.74,40,39.29,25.93,25,26.92
S01007860,Ardler and St Marys - 04,21.05,35.29,29.17,23.08,19.23,15.38
S01007861,Ardler and St Marys - 05,36.36,31.25,35.71,44.44,36.84,30.77
S01007862,Ardler and St Marys - 06,33.33,34.62,27.78,30,23.08,30.43
S01007863,Ardler and St Marys - 07,53.42,50.72,53.33,60.71,61.02,51.72
S01007864,Ardler and St Marys - 08,43.55,40.35,36.21,24.53,29.17,29.55
S01011242,Ardrossan Central - 01,18.75,13.33,11.76,12.5,8,13.64
S01011243,Ardrossan Central - 02,24.14,31.03,37.04,29.63,34.48,27.27
S01011244,Ardrossan Central - 03,46.67,48.28,38.24,23.53,17.86,26.09
S01011245,Ardrossan Central - 04,14.29,22.22,28.57,40,26.09,33.33
S01011250,Ardrossan North East - 01,39.34,37.04,28.57,20,29.41,28.26
S01011251,Ardrossan North East - 02,37.04,30.3,25.71,13.33,15.38,25
S01011252,Ardrossan North East - 03,34.21,30.3,24,30,26.47,25
S01011253,Ardrossan North East - 04,39.13,44.44,63.64,56.52,58.33,50
S01011254,Ardrossan North East - 05,18.18,0,6.25,0,0,5.56
S01011246,Ardrossan North West - 01,33.33,25,23.08,10,5.56,0
S01011247,Ardrossan North West - 02,20,33.33,40,33.33,33.33,10
S01011248,Ardrossan North West - 03,22.22,18.75,13.33,13.33,8.33,8.33
S01011249,Ardrossan North West - 04,14.29,14.29,12.5,12.5,11.11,11.11
S01013383,Armadale - 01,23.08,36,38.1,31.58,16.67,14.81
S01013384,Armadale - 02,20,17.39,10.53,13.64,18.18,32
S01013385,Armadale - 03,11.11,0,0,11.11,11.11,12.5
S01013386,Armadale - 04,11.76,5.88,7.14,12.5,13.33,23.53
S01013387,Armadale - 05,11.76,13.33,11.11,23.08,25,33.33
S01013388,Armadale - 06,22.22,10.53,6.25,21.05,30,23.81
S01013389,Armadale - 07,6.9,8.33,15.38,24,29.17,23.81
S01013390,Armadale - 08,20,21.43,30.77,23.08,23.08,18.18
S01013391,Armadale - 09,11.76,10,9.52,10,18.75,8.33
S01013392,Armadale South - 01,5.88,12.12,7.69,6.98,2.63,3.03
S01013393,Armadale South - 02,29.03,33.33,34.78,39.29,30,24.24
S01013394,Armadale South - 03,37.04,40.74,34.62,40,25,21.05
S01013395,Armadale South - 04,50,35.9,31.71,15.91,22.45,23.08
S01013396,Armadale South - 05,12.5,17.07,12.5,8.82,3.03,4.35
S01013397,Armadale South - 06,22.86,20.51,21.95,16.22,13.51,12.12
S01013398,Armadale South - 07,7.14,0,10,15.38,18.18,0
S01013399,Armadale South - 08,11.36,15.69,18.18,15.22,12.5,6.38
S01011171,Arran - 01,10,22.22,18.18,18.18,0,14.29
S01011172,Arran - 02,10,11.11,0,0,6.25,7.14
S01011173,Arran - 03,11.11,20,18.18,7.69,0,0
S01011174,Arran - 04,38.46,44.44,40,25,11.11,12.5
S01011175,Arran - 05,33.33,25,25,25,35.71,40
S01011176,Arran - 06,11.11,0,16.67,25,50,12.5
S01011177,Arran - 07,0,0,9.09,8.33,15.79,14.29
S01008318,Arthurlie and Gateside - 01,11.76,11.76,10.53,2.63,2.5,2.13
S01008319,Arthurlie and Gateside - 02,21.05,13.64,5.88,17.65,12.5,11.76
S01008320,Arthurlie and Gateside - 03,11.76,17.65,27.78,23.53,22.22,12.5
S01008321,Arthurlie and Gateside - 04,0,0,0,0,0,0
S01008322,Arthurlie and Gateside - 05,17.24,27.78,31.43,33.33,19.35,15.15
S01012653,Ashgill and Netherburn - 01,53.33,38.46,35.9,33.33,30.77,21.95
S01012654,Ashgill and Netherburn - 02,22.73,28.57,18.52,20.83,10.53,4.76
S01012655,Ashgill and Netherburn - 03,23.08,25,28.95,25.64,19.44,13.33
S01006653,Ashgrove - 01,13.33,7.14,4,0,4.55,4.76
S01006654,Ashgrove - 02,26.32,22.58,21.95,17.39,15.22,3.03
S01006655,Ashgrove - 03,4.55,4.76,0,0,0,0
S01006656,Ashgrove - 04,1.92,1.82,1.92,5.13,10.53,10.81
S01006657,Ashgrove - 05,17.86,26.67,11.54,10.71,0,6.67
S01012376,Ashkirk Lilliesleaf and Midlem Area,0,0,0,0,7.14,13.33
S01008323,Auchenback - 01,27.27,30,23.81,21.05,21.05,20
S01008324,Auchenback - 02,26.32,17.65,13.64,13.64,18.18,22.22
S01008325,Auchenback - 03,30,22.86,20.59,11.11,13.33,12.9
S01008326,Auchenback - 04,42.86,34.78,33.93,26.92,31.11,28.57
S01008327,Auchenback - 05,40,25,11.76,16.67,20,30
S01008102,Auchinairn - 01,0,0,6.67,6.67,13.33,15.38
S01008103,Auchinairn - 02,10,3.33,2.94,9.68,18.18,18.52
S01008104,Auchinairn - 03,21.43,19.35,22.58,24.24,28,18.18
S01008105,Auchinairn - 04,16.28,10.81,14.63,12.5,15.15,11.11
S01008106,Auchinairn - 05,33.33,21.74,20,35.71,43.75,33.33
S01008107,Auchinairn - 06,2.33,8.89,9.62,8.77,4.76,5
S01007921,Auchinleck - 01,40.62,36.36,41.18,34.29,41.18,46.15
S01007922,Auchinleck - 02,39.47,45,38.89,36.36,28.57,23.08
S01007923,Auchinleck - 03,8.57,8.82,14.29,10.34,11.54,9.09
S01007924,Auchinleck - 04,41.94,41.67,36.84,30.23,21.21,21.88
S01009574,Auchmuty Dovecot and Town Centre,38.24,22.22,27.27,34.21,36.11,30
S01009573,Auchmuty East,32.14,30,40.62,34.48,26.92,19.05
S01009571,Auchmuty North West,35.29,26.83,25,23.53,28.57,24
S01009572,Auchmuty West,40.91,34,32.69,33.33,36.17,43.59
S01007061,Auchnagatt - 01,12,17.86,9.38,3.33,3.45,5.56
S01007062,Auchnagatt - 02,7.14,7.69,11.76,10,5.88,0
S01007063,Auchnagatt - 03,8.33,5.88,4.76,9.52,11.76,8.33
S01007064,Auchnagatt - 04,0,3.33,6.9,13.79,8.57,9.38
S01011852,Auchterarder - 01,20,28,22.22,20,12,12.5
S01011853,Auchterarder - 02,22.22,15.79,11.11,10.53,5.88,18.75
S01011854,Auchterarder - 03,31.25,35.71,26.67,13.33,11.11,12.5
S01011855,Auchterarder - 04,29.17,21.88,20,8,10.53,18.18
S01011856,Auchterarder - 05,23.08,0,0,0,0,0
S01009443,Auchterderran Landward and Cluny,28.57,36.84,40,26.67,31.43,21.43
S01007013,Auchterless and Monquhitter - 01,18.18,25,12.5,14.29,0,0
S01007014,Auchterless and Monquhitter - 02,16,11.54,6.25,0,3.33,3.45
S01007015,Auchterless and Monquhitter - 03,11.76,11.76,13.33,23.53,16.67,10.53
S01007016,Auchterless and Monquhitter - 04,9.09,27.27,20,37.5,14.29,11.11
S01009673,Auchtermuchty East,3.7,0,0,0,5.56,4.76
S01009672,Auchtermuchty West,20.69,22.22,4.55,9.52,15,18.18
S01009457,Auchtertool,15.38,25,25,14.29,9.52,11.11
S01012487,"Ayr North Harbour, Wallacetown and Newton South - 01",30,29.17,28.57,20,20,16.67
S01012488,"Ayr North Harbour, Wallacetown and Newton South - 02",13.33,13.79,20,25,33.33,27.27
S01012489,"Ayr North Harbour, Wallacetown and Newton South - 03",49.06,37.04,32.73,25.49,23.91,29.41
S01012490,"Ayr North Harbour, Wallacetown and Newton South - 04",38.3,30,40.54,39.39,43.33,42.42
S01012491,"Ayr North Harbour, Wallacetown and Newton South - 05",42.31,44,43.75,52.63,47.62,43.48
S01012492,"Ayr North Harbour, Wallacetown and Newton South - 06",13.04,19.35,25,31.25,25.81,20
S01012480,Ayr South Harbour and Town Centre - 01,5.26,5,5.26,7.14,8.33,7.69
S01012481,Ayr South Harbour and Town Centre - 02,12,12,4,4.17,3.45,3.85
S01012482,Ayr South Harbour and Town Centre - 03,10,16.67,27.78,38.46,53.85,50
S01012483,Ayr South Harbour and Town Centre - 04,42.86,46.88,34.38,17.86,11.11,20
S01012484,Ayr South Harbour and Town Centre - 05,4.55,4.55,0,0,0,0
S01012485,Ayr South Harbour and Town Centre - 06,15.38,7.69,7.69,0,0,0
S01012486,Ayr South Harbour and Town Centre - 07,0,0,0,0,0,0
S01012309,Ayton,12.5,27.27,33.33,30.77,18.18,0
S01008433,Baberton and Juniper Green - 01,13.64,4,0,0,7.69,5.56
S01008434,Baberton and Juniper Green - 02,4.76,0,5.56,3.57,2.7,0
S01008435,Baberton and Juniper Green - 03,0,0,0,0,4.55,5
S01008436,Baberton and Juniper Green - 04,13.33,11.11,5.56,0,0,0
S01008437,Baberton and Juniper Green - 05,0,4.35,9.52,6.25,6.67,0
