datazone,AreaName,12_14,13_15,14_16,15_17,16_18,17_19
S01009847,Govan and Linthouse - 07,31.58,27.78,18.75,10.53,6.67,5.26
S01009894,Govanhill East and Aikenhead - 01,10.77,8.62,5.56,15.52,15.38,18.46
S01009895,Govanhill East and Aikenhead - 02,10,12.82,14.63,16.28,15.56,8.7
S01009896,Govanhill East and Aikenhead - 03,11.86,15.69,12.07,9.86,7.41,12.82
S01009897,Govanhill East and Aikenhead - 04,8.16,8.7,6.67,2.78,10,10.34
S01009898,Govanhill East and Aikenhead - 05,14.29,3.45,3.7,6.67,6.9,6.25
S01009887,Govanhill West - 01,12.5,12.07,14.06,12.86,13.51,12.9
S01009888,Govanhill West - 02,9.09,14,14.29,8,0,4.35
S01009889,Govanhill West - 03,18.52,19.35,15.09,10.53,10.87,11.63
S01009890,Govanhill West - 04,6.98,6,7.32,6.98,10.81,18.18
S01009891,Govanhill West - 05,9.52,9.09,13.33,9.76,7.69,6.06
S01009892,Govanhill West - 06,6.82,11.9,9.3,15,15.91,17.14
S01009893,Govanhill West - 07,11.76,17.02,8.16,9.43,3.51,5.26
S01009277,Gowkhall and Landward,0,0,0,0,0,0
S01008553,"Gracemount, Southhouse and Burdiehouse - 01",21.05,5.88,9.52,11.54,12.9,17.86
S01008554,"Gracemount, Southhouse and Burdiehouse - 02",41.67,25.53,27.27,27.5,33.33,30.95
S01008555,"Gracemount, Southhouse and Burdiehouse - 03",31.67,31.67,29.31,25.42,22.41,18.75
S01008556,"Gracemount, Southhouse and Burdiehouse - 04",29.73,30.77,40,29.73,36.67,25.93
S01008557,"Gracemount, Southhouse and Burdiehouse - 05",34,27.78,27.27,18.46,17.19,11.59
S01008558,"Gracemount, Southhouse and Burdiehouse - 06",34.21,18.6,18.6,15.79,22.58,14.29
S01008017,"Grange, Howard and Gargieston - 01",0,0,0,0,0,0
S01008018,"Grange, Howard and Gargieston - 02",0,0,0,0,0,0
S01008019,"Grange, Howard and Gargieston - 03",7.14,7.69,12.5,11.11,16.67,10
S01008020,"Grange, Howard and Gargieston - 04",25,23.53,9.09,0,7.69,5.26
S01008021,"Grange, Howard and Gargieston - 05",0,11.11,20,12.5,0,0
S01008022,"Grange, Howard and Gargieston - 06",0,0,0,14.29,10,10
S01008023,"Grange, Howard and Gargieston - 07",6.25,9.09,12.5,14.29,14.29,0
S01008024,"Grange, Howard and Gargieston - 08",3.23,4.35,4.69,3.17,2.13,0
S01009238,Grangemouth - Bowhouse - 01,20,45.45,25,23.08,0,0
S01009239,Grangemouth - Bowhouse - 02,29.03,37.93,40.91,27.27,21.74,32
S01009240,Grangemouth - Bowhouse - 03,55.56,48.72,39.53,30.95,29.27,36.36
S01009241,Grangemouth - Bowhouse - 04,30,40,36.11,29.73,25,21.88
S01009242,Grangemouth - Bowhouse - 05,25,26.67,16.67,13.33,13.33,27.27
S01009232,Grangemouth - Kersiebank - 01,31.82,30,30.77,34.62,28,39.13
S01009233,Grangemouth - Kersiebank - 02,10,10,0,0,12.5,20
S01009234,Grangemouth - Kersiebank - 03,36.36,31.91,25,18.6,20.45,19.15
S01009235,Grangemouth - Kersiebank - 04,43.9,37.5,32.43,26.83,21.62,25
S01009236,Grangemouth - Kersiebank - 05,0,0,0,0,7.69,16.67
S01009237,Grangemouth - Kersiebank - 06,12.5,7.69,7.14,7.14,5.56,0
S01009219,Grangemouth - Newlands - 01,29.17,30,20,10,0,0
S01009220,Grangemouth - Newlands - 02,20.83,18.18,10.53,17.65,35.29,38.89
S01009221,Grangemouth - Newlands - 03,11.11,15.38,10,22.22,27.27,41.67
S01009222,Grangemouth - Newlands - 04,20,15.79,22.73,20,29.41,42.86
S01009223,Grangemouth - Newlands - 05,28.57,40,14.29,0,0,0
S01009224,Grangemouth - Newlands - 06,5.88,18.18,21.05,22.22,0,5.56
S01009225,Grangemouth - Newlands - 07,6.25,7.69,5.56,6.67,5.88,0
S01009226,Grangemouth - Newlands - 08,10.71,4.76,17.39,11.11,15.38,9.09
S01009227,Grangemouth - Town Centre - 01,40,33.33,25,6.67,11.76,15.79
S01009228,Grangemouth - Town Centre - 02,22.73,22.22,9.52,5.88,12.5,28.57
S01009229,Grangemouth - Town Centre - 03,37.5,40,37.5,9.09,8.33,25
S01009230,Grangemouth - Town Centre - 04,13.64,9.52,5.26,0,0,8.33
S01009231,Grangemouth - Town Centre - 05,22.73,19.05,14.29,3.7,3.33,6.67
S01008916,Granton South and Wardieburn - 01,18.75,20.59,16.67,20.59,19.05,18.6
S01008917,Granton South and Wardieburn - 02,26.32,25,23.81,27.91,17.65,14.29
S01008918,Granton South and Wardieburn - 03,34.15,34.09,25,25,28.95,26.67
S01008919,Granton South and Wardieburn - 04,37.5,30.77,25.81,24.24,21.88,26.92
S01008924,Granton West and Salvesen - 01,29.41,22.22,19.15,17.39,18.18,21.88
S01008925,Granton West and Salvesen - 02,41.86,35.71,39.02,28.57,30.95,28.21
S01008926,Granton West and Salvesen - 03,21.05,0,9.52,9.68,12.5,8.33
S01008927,Granton West and Salvesen - 04,8.93,7.69,9.43,9.3,7.55,9.8
S01008928,Granton West and Salvesen - 05,24.24,22.22,18.18,11.36,17.78,20
S01008920,Granton and Royston Mains - 01,4.17,5.88,6.38,5.88,3.08,2.99
S01008921,Granton and Royston Mains - 02,29.27,28.89,26.79,20.34,14.04,11.11
S01008922,Granton and Royston Mains - 03,11.43,16.13,25.71,25,33.33,27.03
S01008923,Granton and Royston Mains - 04,29.79,30.56,22.5,17.39,12,9.52
S01008785,Great Junction Street - 01,25,23.08,43.33,45.45,37.84,18.75
S01008786,Great Junction Street - 02,13.95,7.5,6.06,14.29,10.34,13.79
S01008787,Great Junction Street - 03,32.14,25,28.57,26.32,45.45,34.62
S01008788,Great Junction Street - 04,11.11,5.56,10.71,3.7,9.52,10
S01008789,Great Junction Street - 05,20.83,13.64,11.11,12.5,12.5,6.25
S01008790,Great Junction Street - 06,7.69,4,13.04,16,25,17.39
S01008791,Great Junction Street - 07,14.89,10.53,0,6.67,11.11,7.69
S01007315,Greater Lochgilphead - 01,9.09,15.79,18.18,10,10,9.68
S01007316,Greater Lochgilphead - 02,22.22,25,26.09,26.32,15,16.67
S01007317,Greater Lochgilphead - 03,27.78,28,15.38,9.09,3.03,2.63
S01007318,Greater Lochgilphead - 04,16.67,15.38,9.09,6.67,6.67,25
S01007319,Greater Lochgilphead - 05,6.67,0,13.33,25,35.29,27.27
S01008519,Greenbank and The Braids - 01,4.55,4,0,0,0,0
S01008520,Greenbank and The Braids - 02,0,0,0,0,0,0
S01008521,Greenbank and The Braids - 03,0,0,0,0,0,0
S01008522,Greenbank and The Braids - 04,0,0,0,0,0,0
S01008523,Greenbank and The Braids - 05,0,0,0,0,0,0
S01011606,Greenend and Carnbroe - 01,2.7,0,3.23,3.33,6.9,2.94
S01011607,Greenend and Carnbroe - 02,10.53,0,0,5.88,13.33,30.77
S01011608,Greenend and Carnbroe - 03,5.41,2.78,3.03,12.5,21.43,23.08
S01011609,Greenend and Carnbroe - 04,32,30.61,34,34.62,31.25,32.56
S01011610,Greenend and Carnbroe - 05,35.71,31.43,26.47,24.14,34.38,29.17
S01011611,Greenend and Carnbroe - 06,23.53,17.65,11.54,0,0,2.04
S01011612,Greenend and Carnbroe - 07,4.17,6.9,5.88,2.7,0,0
S01011734,Greenfaulds - 01,7.69,0,14.29,23.53,28.57,19.05
S01011735,Greenfaulds - 02,0,0,12.5,16.67,16.67,0
S01011736,Greenfaulds - 03,40,34.62,33.33,14.29,22.22,16.67
S01011737,Greenfaulds - 04,23.81,20,27.78,18.75,18.18,12
S01011738,Greenfaulds - 05,3.23,5.88,6.9,10.71,9.68,14.71
S01010131,Greenfield - 01,11.76,10.53,0,11.76,17.65,30.77
S01010132,Greenfield - 02,37.5,36.84,30.3,39.29,34.78,33.33
S01010133,Greenfield - 03,25,31.58,22.73,19.23,16.67,20
S01010134,Greenfield - 04,23.68,20,13.33,21.43,22.58,26.47
S01010135,Greenfield - 05,29.41,22.22,29.41,20,23.53,10
S01010136,Greenfield - 06,4.17,8.7,15.79,20,23.81,25
S01012975,Greenhills - 01,9.09,0,0,11.11,16,19.23
S01012976,Greenhills - 02,35.71,41.67,18.18,28.57,33.33,25
S01012977,Greenhills - 03,20.51,25.81,25.93,23.81,22.73,32
S01012978,Greenhills - 04,45.45,34.38,27.59,21.74,20,14.29
S01012979,Greenhills - 05,21.05,20,12.5,9.52,27.78,35.29
S01012300,Greenlaw,19.05,21.05,23.53,27.27,11.11,11.11
S01010898,Greenock East - 01,23.81,25,7.14,20,23.81,32
S01010899,Greenock East - 02,21.05,13.64,9.52,5.88,0,0
S01010900,Greenock East - 03,37.5,33.33,34.29,35.29,29.03,20.69
S01010901,Greenock East - 04,29.17,38.1,32.14,23.81,9.09,20
S01010902,Greenock East - 05,20.69,25,21.21,25.81,20.83,13.79
S01010903,Greenock East - 06,33.33,33.33,43.48,52.38,36.84,15.79
S01010904,Greenock East - 07,41.67,33.33,25,22.22,20,13.33
S01010905,Greenock East - 08,27.27,18.18,9.09,4.08,8.62,14.29
S01010906,Greenock East - 09,19.44,14.29,18.18,12.5,17.14,19.44
S01010890,Greenock Town Centre and East Central - 01,45.45,35.71,25,33.33,23.53,30.43
S01010891,Greenock Town Centre and East Central - 02,44.44,37.5,42.86,30,25,23.08
S01010892,Greenock Town Centre and East Central - 03,20.69,18.52,18.52,5,4.76,6.67
S01010893,Greenock Town Centre and East Central - 04,45.45,42.86,25,15.38,20,28.57
S01010894,Greenock Town Centre and East Central - 05,26.32,14.29,6.9,7.41,11.54,17.86
S01010895,Greenock Town Centre and East Central - 06,25,22.22,15.38,0,0,20
S01010896,Greenock Town Centre and East Central - 07,31.58,26.32,26.67,16.67,12.5,11.54
S01010897,Greenock Town Centre and East Central - 08,21.43,22.22,27.59,32,31.82,23.08
S01010884,Greenock Upper Central - 01,35,33.33,23.08,30,28.57,41.67
S01010885,Greenock Upper Central - 02,35.9,30,30,16.67,26.92,26.92
S01010886,Greenock Upper Central - 03,27.27,16.67,7.69,12.5,16.67,7.69
S01010887,Greenock Upper Central - 04,26.32,10,11.11,5,5.26,9.52
S01010888,Greenock Upper Central - 05,32.26,20.69,18.18,11.76,14.29,16.67
S01010889,Greenock Upper Central - 06,41.67,44.44,40,27.27,17.65,11.11
S01010870,Greenock West and Central - 01,11.54,11.54,8.7,10.53,16.67,28.57
S01010871,Greenock West and Central - 02,18.18,14.29,13.04,0,0,0
S01010872,Greenock West and Central - 03,27.78,28.57,14.29,6.67,13.33,23.08
S01010873,Greenock West and Central - 04,20,15.38,14.29,25,27.27,33.33
S01010874,Greenock West and Central - 05,7.69,7.69,11.11,0,0,0
S01010875,Greenock West and Central - 06,14.29,23.08,21.43,9.09,0,7.69
S01010876,Greenock West and Central - 07,17.14,12.12,12.12,12.5,8.33,5.88
S01010877,Greenock West and Central - 08,15.38,13.79,13.79,13.33,9.52,11.11
S01007676,Gretna - 01,33.33,36.36,42.86,35.71,23.53,7.14
S01007677,Gretna - 02,21.43,11.11,9.09,9.09,18.18,33.33
S01007678,Gretna - 03,31.25,24,21.74,29.17,47.83,58.33
S01007679,Gretna - 04,36.84,35,30.77,22.58,28.57,23.81
S01007680,Gretna - 05,0,16.67,11.76,15.79,5,4
S01007681,Gretna - 06,11.11,20,20,16.67,14.29,33.33
S01009738,Guardbridge,11.76,0,10,8.33,9.09,0
S01011956,"Guildtown, Balbeggie and St Madoes - 01",4.55,3.7,0,0,3.7,7.41
S01011957,"Guildtown, Balbeggie and St Madoes - 02",13.64,21.74,25,23.08,9.09,0
S01011958,"Guildtown, Balbeggie and St Madoes - 03",15.62,7.14,8.7,8,13.64,14.29
S01011959,"Guildtown, Balbeggie and St Madoes - 04",8.33,10,10,33.33,38.46,31.25
S01012953,Hairmyres and Westwood West - 01,0,0,0,0,0,0
S01012954,Hairmyres and Westwood West - 02,0,0,25,25,25,7.14
S01012955,Hairmyres and Westwood West - 03,2.94,2.94,0,2.08,0,0
S01012956,Hairmyres and Westwood West - 04,40,35.29,28.57,21.74,29.17,17.39
S01012957,Hairmyres and Westwood West - 05,11.76,25,27.78,38.1,17.65,20
S01009404,Halbeath,30,30.43,30.43,36,38.1,36.84
S01012814,"Halfway, Hallside and Drumsagard - 01",13.51,12.9,6.67,4.17,4.55,4.76
S01012815,"Halfway, Hallside and Drumsagard - 02",6.9,8.16,6.12,2.5,0,0
S01012816,"Halfway, Hallside and Drumsagard - 03",8.33,9.52,3.45,0,3.45,5.56
S01012817,"Halfway, Hallside and Drumsagard - 04",4,5.26,0,0,0,0
S01012818,"Halfway, Hallside and Drumsagard - 05",0,0,0,0,0,0
S01012819,"Halfway, Hallside and Drumsagard - 06",38.46,33.33,33.33,33.33,38.1,33.33
S01012820,"Halfway, Hallside and Drumsagard - 07",10.96,7.62,5.26,2.94,1.66,0.85
S01009177,Hallglen and Glen Village - 01,23.68,21.62,16.67,10.81,13.33,24
S01009178,Hallglen and Glen Village - 02,16.22,18.92,21.43,30.43,20.69,14.29
S01009179,Hallglen and Glen Village - 03,28,25,18.18,4.76,4.35,8.33
S01009180,Hallglen and Glen Village - 04,35.9,33.33,22.22,21.21,21.88,24.24
S01009729,Hallow Hill,0,0,0,0,0,0
S01009728,Hallow Hill South,0,0,0,0,0,0
S01012716,Hamilton Centre and Low Parks - 01,0,0,10,13.33,11.76,12.5
S01012717,Hamilton Centre and Low Parks - 02,28,40,31.25,14.29,15.79,11.54
S01012718,Hamilton Centre and Low Parks - 03,6.9,3.03,11.11,6.9,12.5,6.67
S01012719,Hamilton Centre and Low Parks - 04,16.67,7.14,4.17,0,7.41,8.33
S01012720,Hamilton Centre and Low Parks - 05,12.5,10,15,14.29,8.33,0
S01006641,Hanover North - 01,8.7,7.89,9.38,10.34,11.11,9.38
S01006642,Hanover North - 02,0,3.7,4.55,3.33,3.57,3.23
S01006643,Hanover North - 03,9.68,10.34,7.41,0,0,0
S01006644,Hanover North - 04,17.14,16.22,11.76,5.56,0,2.78
S01006637,Hanover South - 01,4.76,8,8.7,13.64,12.5,0
S01006638,Hanover South - 02,14.81,11.54,4.76,6.67,6.25,5
S01006639,Hanover South - 03,11.76,18.18,11.43,13.79,10,18.52
S01006640,Hanover South - 04,0,0,0,3.7,3.45,3.33
S01012665,Hareleeshill - 01,30.3,18.75,28.12,29.03,34.29,34.29
S01012666,Hareleeshill - 02,26.09,26.32,19.05,25,28,23.81
S01012667,Hareleeshill - 03,44.44,50,31.25,38.1,33.33,39.13
S01012668,Hareleeshill - 04,35,26.32,11.11,9.52,14.29,28.57
S01012669,Hareleeshill - 05,0,0,4.76,5.56,11.11,5.88
S01012670,Hareleeshill - 06,15,6.25,6.25,0,0,0
S01008149,Harestanes - 01,14.29,10.34,21.43,19.35,29.63,22.73
S01008150,Harestanes - 02,14.81,19.35,24.24,26.32,24.24,9.68
S01008151,Harestanes - 03,21.74,23.81,17.65,7.69,0,5.56
S01008152,Harestanes - 04,12.5,16.67,17.39,18.52,9.09,4.17
S01009023,Harris - 01,0,0,0,0,0,0
S01009024,Harris - 02,8.57,11.54,15.38,17.65,10,5.26
S01011439,Harthill and Salsburgh - 01,30,36.67,18.18,6.45,3.33,8.7
S01011440,Harthill and Salsburgh - 02,13.64,15,23.81,23.53,23.53,20
S01011441,Harthill and Salsburgh - 03,19.23,15.79,20,23.08,25.93,24
S01011442,Harthill and Salsburgh - 04,13.64,23.53,25,20,6.67,6.25
S01011443,Harthill and Salsburgh - 05,7.69,17.65,12.5,15.38,0,7.69
S01011444,Harthill and Salsburgh - 06,23.08,38.46,32.14,27.59,23.08,25
S01011445,Harthill and Salsburgh - 07,33.33,31.82,21.74,20,16.67,10
S01011446,Harthill and Salsburgh - 08,29.41,31.25,18.75,14.29,15.38,10.2
S01011525,Hattonrigg - 01,26.67,18.18,5.56,0,0,0
S01011526,Hattonrigg - 02,23.08,29.17,24,11.11,0,0
S01011527,Hattonrigg - 03,21.05,10.53,9.09,5.26,6.25,0
S01012360,Hawick - Burnfoot - Central,40.48,35.9,45,43.59,44.74,36.11
S01012362,Hawick - Burnfoot - North,35.85,39.53,31.43,44.44,26.92,29.17
S01012359,Hawick - Burnfoot - South East,30.77,37.04,29.17,31.82,40.91,55
S01012361,Hawick - Burnfoot - West,40,41.18,38.1,33.33,26.09,40.91
S01012370,Hawick Central - Drumlanrig,22.22,22.73,23.81,17.65,20,13.04
S01012365,Hawick Central - Millers Knowes,0,0,0,0,8.33,7.14
S01012366,Hawick Central - Town Centre,25,30.43,26.92,25,15.38,20
S01012364,Hawick Central - Trinity,30.77,19.23,18.18,20,32.26,33.33
S01012367,Hawick Central - Weensland,9.09,10,7.69,7.69,5.88,5
S01012363,Hawick Central - Wellogate,41.03,35.56,32.69,38.64,38.46,29.17
S01012372,Hawick North - Commercial Road,45,37.04,29.03,20.59,17.24,25.81
S01012375,Hawick North - Silverbuthall,34.29,30,26.92,19.05,9.09,13.79
S01012374,Hawick North - Stirtches,18.52,20.69,21.74,29.41,18.75,11.76
S01012373,Hawick North - Wilton Hill,19.05,17.39,18.18,23.81,25,26.92
S01012371,Hawick West End - Crumhaugh,29.41,23.33,22.86,27.59,21.43,22.22
S01012369,Hawick West End - Crumhaughill and Parkdaill,26.09,16.67,17.39,8,13.64,14.29
S01012368,Hawick West End - Wilton Dean,0,12.5,10,10,0,0
S01009523,Hayfield North,30,23.33,29.17,22.73,34.48,33.33
S01009525,Hayfield South,47.06,30.77,33.33,24,25,17.65
S01012632,Hazelbank and Kirkfieldbank - 01,5.26,4.76,5,0,0,5
S01012633,Hazelbank and Kirkfieldbank - 02,14.29,6.25,0,7.69,18.18,12.5
S01012634,Hazelbank and Kirkfieldbank - 03,21.43,15.38,14.29,12.5,6.67,0
S01012635,Hazelbank and Kirkfieldbank - 04,16.67,14.29,13.33,12.5,15,16.67
S01012636,Hazelbank and Kirkfieldbank - 05,22.22,20,11.54,4.35,0,5.56
S01006547,Hazlehead - 01,10,8.33,4.35,4.76,2.33,5.17
S01006548,Hazlehead - 02,7.69,0,0,0,0,0
S01006549,Hazlehead - 03,0,0,0,0,0,0
S01006550,Hazlehead - 04,0,0,4.17,5.88,7.69,0
S01006551,Hazlehead - 05,25,28.57,28.57,17.65,10.53,0
S01006552,Hazlehead - 06,0,0,3.45,5,4,0
S01009067,Head of Muir and Dennyloanhead - 01,5.41,6.06,0,0,0,0
S01009068,Head of Muir and Dennyloanhead - 02,18.52,20,18.52,17.24,14.81,12.5
S01009069,Head of Muir and Dennyloanhead - 03,0,0,0,0,5,6.67
S01009070,Head of Muir and Dennyloanhead - 04,15,13.04,9.52,13.64,10.53,5.56
S01009305,Headwell Central,25,25,33.33,28,26.92,23.81
S01009302,Headwell East,50,46.15,37.5,28.57,30.43,25
S01009304,Headwell North,15.62,26.67,33.33,32.35,18.18,21.21
S01009306,Headwell South West,17.07,17.07,12.77,13.21,14.29,12.5
S01012512,Heathfield - 01,32,28.57,23.08,15.79,23.53,30
S01012513,Heathfield - 02,15.38,12.5,6.67,0,0,0
S01012514,Heathfield - 03,4.76,5,2.86,6.9,3.03,5.13
S01012515,Heathfield - 04,31.25,35.71,31.25,18.75,17.65,7.69
S01012516,Heathfield - 05,6.67,7.69,14.29,18.18,11.11,0
S01012517,Heathfield - 06,44.44,31.25,21.88,33.33,28.57,21.88
S01007622,Heathhall - 01,0,0,0,9.09,6.25,5.56
S01007623,Heathhall - 02,0,0,0,0,0,0
S01007624,Heathhall - 03,14.29,15,11.76,5.88,10.53,10
S01007625,Heathhall - 04,0,0,0,10,11.11,11.11
S01007626,Heathhall - 05,9.38,4.55,9.09,12.5,10.71,4.17
S01006726,Heathryfold and Middlefield - 01,38.16,35.53,38.71,35.38,38.71,38.1
S01006727,Heathryfold and Middlefield - 02,34.78,38.46,34.69,40,32.69,36.84
S01006728,Heathryfold and Middlefield - 03,29.17,23.21,24,20,26.19,28.13
S01006729,Heathryfold and Middlefield - 04,26.83,16.22,20.51,26.47,28.95,24.39
S01006730,Heathryfold and Middlefield - 05,13.79,17.39,32.14,28.12,25.81,15.38
S01006731,Heathryfold and Middlefield - 06,45.45,25,25,27.27,33.33,30.43
S01011091,"Heldon West, Fogwatt to Inchberry - 01",10,20,18.18,18.18,7.69,16.67
S01011092,"Heldon West, Fogwatt to Inchberry - 02",41.18,43.75,25,31.25,20,20
S01011093,"Heldon West, Fogwatt to Inchberry - 03",5.88,8.82,11.9,11.48,13.04,8.11
S01011094,"Heldon West, Fogwatt to Inchberry - 04",7.69,0,0,0,2.86,3.13
S01011095,"Heldon West, Fogwatt to Inchberry - 05",17.65,18.75,13.33,0,0,7.69
S01007394,Helensburgh Centre - 01,0,12.5,14.29,14.29,0,0
S01007395,Helensburgh Centre - 02,14.29,30.77,30.77,35.29,8.33,12.5
S01007396,Helensburgh Centre - 03,13.33,16,9.52,4.55,0,9.52
S01007397,Helensburgh Centre - 04,0,0,0,18.18,18.75,21.43
S01007398,Helensburgh East - 01,15.38,18.18,26.09,34.78,21.74,17.39
S01007399,Helensburgh East - 02,43.48,46.15,43.48,47.62,41.18,40
S01007400,Helensburgh East - 03,18.75,25,20,8.33,0,0
S01007401,Helensburgh East - 04,15.38,15.38,15.38,18.18,20,12.5
S01007402,Helensburgh East - 05,9.09,0,0,0,0,0
S01007403,Helensburgh East - 06,12.82,4.88,6.67,4.44,2.33,2.27
S01007387,Helensburgh North - 01,0,0,0,0,0,0
S01007388,Helensburgh North - 02,13.33,10,11.11,0,0,0
S01007389,Helensburgh North - 03,14,10.71,12.96,11.48,13.04,16.22
S01007390,Helensburgh North - 04,10.53,12.82,13.79,12.5,10.71,12.9
S01007391,Helensburgh North - 05,28.57,42.86,42.86,14.29,0,0
S01007392,Helensburgh North - 06,0,0,33.33,20,16.67,0
S01007393,Helensburgh North - 07,12.5,14.29,14.29,10,9.09,11.11
S01007381,Helensburgh West and Rhu - 01,0,0,0,0,0,0
S01007382,Helensburgh West and Rhu - 02,10,14.29,16.67,0,8.33,18.75
S01007383,Helensburgh West and Rhu - 03,0,12.5,12.5,15.38,8.33,6.25
S01007384,Helensburgh West and Rhu - 04,5.56,7.14,7.41,11.11,3.12,3.45
S01007385,Helensburgh West and Rhu - 05,19.05,26.32,25,26.32,18.18,23.81
S01007386,Helensburgh West and Rhu - 06,0,10,10,10,0,0
S01012271,Heriot - Fountainhall - Stow Landward,22.58,12.12,15.15,6.98,9.62,7.27
S01012752,High Blantyre - 01,25.93,29.63,23.08,16.67,12,10
S01012753,High Blantyre - 02,28.57,26.32,15.38,21.43,45.45,66.67
S01012754,High Blantyre - 03,22.73,23.81,22.22,12.5,7.69,20
S01012755,High Blantyre - 04,15,11.11,7.69,12.5,17.65,21.74
S01012756,High Blantyre - 05,0,0,9.09,6.67,10,0
S01012757,High Blantyre - 06,26.67,28.57,35.71,37.5,44.44,27.27
S01012758,High Blantyre - 07,11.11,25,10,14.29,7.14,10.53
S01009083,High Bonnybridge and Greenhill - 01,13.33,13.33,19.05,11.11,12,13.04
S01009084,High Bonnybridge and Greenhill - 02,26.09,18.18,15,10,4.76,0
S01009085,High Bonnybridge and Greenhill - 03,7.14,7.69,7.89,2.86,0,0
S01009086,High Bonnybridge and Greenhill - 04,11.11,16.67,16.13,15.38,4.76,0
S01009087,High Bonnybridge and Greenhill - 05,30.77,26.32,23.53,31.25,28.57,28.57
S01012878,High Crosshill - 01,19.35,17.5,14,10.71,4.92,3.28
S01012879,High Crosshill - 02,5.88,12.5,10.34,7.69,5.26,6.25
S01012880,High Crosshill - 03,11.11,6.25,7.14,14.29,10,11.76
S01012881,High Crosshill - 04,0,0,0,0,0,0
S01009280,High Valleyfield East,36.36,33.33,40.54,38.46,43.75,39.39
S01009281,High Valleyfield West,29.17,23.81,11.11,12,8.33,12.5
S01013117,Highland - 01,22.22,25,21.43,25,15,13.64
S01013118,Highland - 02,16.67,0,0,0,0,0
S01013119,Highland - 03,15.38,7.69,10.53,5.56,18.75,27.27
S01013120,Highland - 04,14.29,17.39,15,11.76,7.14,7.69
S01013121,Highland - 05,10,16.67,20,22.22,0,0
S01009411,Hill of Beath,28,26.32,27.27,30.77,33.33,30
S01009409,Hill of Beath and Landward,35.48,34.62,28.57,31.58,31.25,17.65
S01009393,Hillend,9.09,11.11,13.33,7.14,0,0
S01008136,Hillhead - 01,31.58,5.88,4.55,0,11.76,26.67
S01010381,Hillhead - 01,7.69,13.33,22.22,14.29,0,0
S01008137,Hillhead - 02,43.48,33.33,25.81,29.73,37.93,29.73
S01010382,Hillhead - 02,28,23.81,19.05,9.09,5,0
S01008138,Hillhead - 03,41.38,48.15,37.5,29.63,32,21.05
S01010383,Hillhead - 03,16.67,9.09,0,0,0,0
S01008139,Hillhead - 04,34.38,29.41,29.27,31.71,29.27,23.08
S01010384,Hillhead - 04,4.35,0,0,4.17,8,7.41
S01008140,Hillhead - 05,35.71,40,41.18,42.86,33.33,22.22
S01010385,Hillhead - 05,0,11.11,16.67,16.67,0,0
S01010386,Hillhead - 06,30,27.78,27.78,16,8.7,4.17
S01010387,Hillhead - 07,6.45,5.71,5.41,4.88,4.65,5
S01012747,Hillhouse - 01,19.35,14.81,9.52,8,9.09,5.88
S01012748,Hillhouse - 02,41.18,43.59,29.73,27.27,29.41,36
S01012749,Hillhouse - 03,58.14,51.35,44.74,28.95,25,27.5
S01012750,Hillhouse - 04,33.33,35.48,31.03,40,29.03,21.88
S01012751,Hillhouse - 05,19.44,17.65,3.33,3.85,4.35,17.39
S01009829,Hillington - 01,30.61,31.37,27.27,16.28,9.3,4.65
S01009830,Hillington - 02,27.27,25.81,13.33,10,6.25,10.81
S01009831,Hillington - 03,26.09,42.31,26.92,28.12,8.7,12.5
S01009832,Hillington - 04,28.89,27.27,17.5,22.22,20.51,21.05
S01013042,Hillpark - 01,15.79,8.11,10.34,9.68,9.38,7.89
S01013043,Hillpark - 02,29.17,34.62,23.08,27.59,23.08,22.22
S01013044,Hillpark - 03,28.12,15.38,20.59,17.86,27.59,30.77
S01013045,Hillpark - 04,4,15,16.67,15,10,6.25
S01013046,Hillpark - 05,14.29,6.25,20,23.08,22.22,9.09
S01007221,Hillside - 01,12.12,17.65,15.62,12.2,6.67,5.41
S01007222,Hillside - 02,9.52,9.52,19.05,23.81,23.81,17.65
S01007223,Hillside - 03,0,0,4.76,5.88,14.29,8.33
S01007224,Hillside - 04,19.05,22.73,20.83,27.27,19.05,11.76
S01007225,Hillside - 05,21.74,8.33,16,16,15.79,6.25
S01008806,Hillside and Calton Hill - 01,14.89,10.53,9.68,3.7,3.7,0
S01008807,Hillside and Calton Hill - 02,8.57,12,11.11,4.55,4.55,5.56
S01008808,Hillside and Calton Hill - 03,4.17,8.33,12,11.54,15.79,6.67
S01008809,Hillside and Calton Hill - 04,10.71,9.52,0,5,4.35,4.35
S01008810,Hillside and Calton Hill - 05,3.7,0,0,0,0,0
S01008811,Hillside and Calton Hill - 06,0,3.23,6.45,14.29,11.11,12.5
S01008812,Hillside and Calton Hill - 07,0,0,0,0,0,5.56
S01007714,Hilltown - 01,14.29,15,15.79,25,25,22.22
S01007715,Hilltown - 02,48,39.13,33.33,29.17,22.22,19.05
S01007716,Hilltown - 03,19.51,23.91,25,26.19,24.32,18.75
S01007717,Hilltown - 04,35.42,34.04,29.79,25.58,27.5,24.39
S01007718,Hilltown - 05,20.69,11.11,27.59,34.78,46.43,45.45
S01007719,Hilltown - 06,45.16,33.33,29.55,23.08,20.69,21.74
S01011918,"Hillyland, Tulloch and Inveralmond - 01",40,37.14,37.84,42.22,43.18,39.02
S01011919,"Hillyland, Tulloch and Inveralmond - 02",28.95,26.83,31.91,33.33,39.47,36.67
